cleaned_review,compound,sentiment
look durable charging fine toono complainscharging really fast good producttill satisfied qualitythis good product charging speed slower original iphone cablegood quality would recommend worked well till date issuecable also sturdy enoughhave asked replacement company samevalue money,0.9419,Positive
ordered cable connect phone android auto car cable really strong connection port really well made already micro usb cable ambrane still good shape connected phone car using cable got connected well issue also connected charging port yes fast charging supportit quality good price main thing didnt ever thought cable long good one charging power good also support fast chargingvalue money extra lengthgood working fineproduct quality goodgoodvery goodbought daughter old phonebrand new cable charging already repacked requested replacementi checked green colour pastefungus inside micro usb connector cleaned alcoholic start working againchecked ampere charging speed got around mama bad came braided long cable pretty impressive pricecant blame manufacturerbut quality issue distributor might stored humid place,0.975,Positive
quite durable sturdy good nice productworking wellits really nice product,0.83,Positive
good productlong wirecharges goodnicei bought cable worthy product price tested various charger adapter support fast charging wellgoodoki got good price sale amazon product useful warranty warranty need far practical cost mine micro type connector stopped working day onlyi like product,0.9393,Positive
bought instead original apple work fast apple charger good option want cheap good product bought ipad pro working flawlessly build quality like gon hang clothes want strong cable even braided cable stop working year used anker apple store strong braided cable stop working year please dont buy high end cable instead choose one even stop working withing year loose compare rsupdatepin stopped charging one side slip pin charge side update let know long workits good sure durability pin area feel bit fragiledoes support apple carplayso little disappointed thatother cable made good qualitybest buy fathfulwriting review post month order producthonestly portronics konnect lightning cable work like magic original apple charging brickseeing price cable initially hesitated buying low offer wasnt sure would work well iphone whether would impact iphones battery health lightning cable brand costing like wayona amazon basic etcearlier using wayona brand lightning cable eventually frayed stopped workingcharging speedcharges iphone fast enough almost similar compared original cable level used original apple power adapterquality durabilitygreat quality braided cable doesnt tangle easily withstand daytoday usagelshaped pinthis innovative portronics make sure cable doesnt get damaged even used chargingcarplay data syncworks smoothly carplay syncs data effortlesslyps used cable original apple charging brick extremely satisfied performancebetter expect product like quality plan buy type cable come usb lighting cable emergency purpose much love cable buy cable emergency us since good onegood product value money,0.9926,Positive
good productlikevery good item strong useful usb cablevalue moneythanks amazon producer product useful productsturdy support charging,0.9538,Positive
build quality good come year warrantygood productbought charging mobile tab doesnt work lenovo tabguys cable best compare everyone heat protection quickly charging chance shock circuitgoodnicegood quality watt,0.7579,Positive
worth money suitable android auto purpose served cargot rseverything okay packaging good feeling like seller gave used cablegood productgood product cost moreoriginal cablei bought cable using cable android auto car perfectly work without glitchoriginal cable charge upto watt got watt charger want cable car went checked performance battery charging app charging speed exactly half watt original cable itit provided turbo charging recommend redmi note mobile phone provide turbo charging veri happy product,0.967,Positive
use connect old internet tried lubuntu ubuntu worked box didnt setup there extender cable place comfortable place get model antenna otherwise youll range problem youre directly line sight wifi routerthe wifi dongle simple plug play device start catching available network right plug usb port additional installation software requires signal strength good wonder would different adapter lesser known brand available much competitive pricing hence star lessproseasy use portablecan connected mobile hotspot used budget friendlyless installation processno heating issue good coveragebest alternative usb tethering phone battery may get damaged long term run tetheringconsinternet connection speed varies time also depends modem cellular connectionissues occur installing via available along product installation driver downloaded tplink siteneeded reconnect adapter every time system turned onwill work software issue encountered update systemworked mesupport center worse call unattended time visit nearby storeconclusionbrought ideal user dont need high speed internet usagea good alternative usb tethering budgep youtube video easily played without interruptionswifi connectivity great good result however jitter problem existthis perfect device connect wifi itthis wifi adopter good workingpictures attachedsizedesign build quality packaging software speed connectivity experience warranty size designthe best part compact size sober elegant design big plus easy plug use add good sober designbuild qualitythe build quality undoubtedly superb qualm held doesnt give cheap flimsy productlike feeling good sturdy build qualitypackagingthis part also big plus item well cushioned packaged necessary item ensured damage could caused product transportation ensures customer received something damaged internally alreadysoftwarethis actually good great part productthe good part provided along manualthe great part linux support given version onwards bad reallyspeedit easily support net speed upto mbps practically speaking tested home easily support net speed mbps without sighon testing found connect ghz network without issueconnectivityplease mark foot metre multiply metre get distance feetit easily connects laptop phone metre across one room thats foot mean even old bluetooth used connect ftso foot issue big plus found productexperiencefrom point view far except linux noncompatibility issue found flaw productso overall great productwarrantyits year assured atleast year tensionfree year contrary electronic item today provide year warranty itemsbest adapter bought ever work nicely seemless connectivity,0.9932,Positive
ordered cable connect phone android auto car cable really strong connection port really well made already micro usb cable ambrane still good shape connected phone car using cable got connected well issue also connected charging port yes fast charging supportit quality good price main thing didnt ever thought cable long good one charging power good also support fast chargingvalue money extra lengthgood working fineproduct quality goodgoodvery goodbought daughter old phonebrand new cable charging already repacked requested replacementi checked green colour pastefungus inside micro usb connector cleaned alcoholic start working againchecked ampere charging speed got around mama bad came braided long cable pretty impressive pricecant blame manufacturerbut quality issue distributor might stored humid place,0.975,Positive
cable efficient fast charging quick data transfer overall finei like usb shape nylon shielded core wire improves life cablei think buy every month fast charging stop working probbly something cable design cable get twisted time suspect break high capacity wire inside keep buying arent many option shaped designgood durable product sometime charge doesnt work adapter might cut something work fine apple adapter car charger usbthe product really good affordable pricegood fast charging value money watnot fast charger slow charging lshape pin useful,0.8977,Positive
good productlong wirecharges goodnicei bought cable worthy product price tested various charger adapter support fast charging wellgoodoki got good price sale amazon product useful warranty warranty need far practical cost mine micro type connector stopped working day onlyi like product,0.9393,Positive
using day experience pretty good picture quality also bad dont expect something world price point tight budgetinitial impression work said glad didnt cheaper option costly plug play update screw upthe hdmi cable good watch moviesports give better quality connecting laptop play loved itworks expected length cable short mentioned also satisfied requirement need length better look optionsall goodits best hdmi cable price range problem yet expecting delivered time delivered timeproduct good tried cable wire amazon basica brandgood one,0.9844,Positive
definitely isnt good original cord work fast charging pretty sturdyworth itso faulty cable lazy lot money instead calling apple bought like buck didnt expected much surprise cable actually work fast charging itfelt quite sturdy connector look premium easy insert used cable switch data iphone cable worked like charm using smart switch app data including whatsapp data transferred successfully satisfied performancejust goodquality goodworking smoothly using portronics chargerthis real fast charging cable serving purposevery good,0.9155,Positive
loosing charging cable apple costly affair wire great purchase made correct itworked well six month thats stopped working planning buy one price come good product compatible ipad generation charging well quality product good also work fine totally worth priceproduct superim using last month till good functioning noticed phone get disconnected multiple occasion might cable may damagedoverall worked well monthtakes hour charge fullgood item valueit best product used till,0.9719,Positive
like best charging power used cable note pro using month also fast working might little expensive physically good feel premium power limitation suitable fast charging data cable charging fastvery good quality good durabilityoverall good need improvement,0.952,Positive
pro xiomi best budgetnice picture qualityvery nice audio output full featurecons sometimes lagssometimes stucksin prize range con like thisoverall nice tvthe product price range good running android lag hope update lag problem resolveduseless product useless quality display issue within month service center upto mark better brand quality assured would wish option negative starsuses connectes picture good hopping best level song globaly good product evergood qualitygood,0.9764,Positive
ordered cable connect phone android auto car cable really strong connection port really well made already micro usb cable ambrane still good shape connected phone car using cable got connected well issue also connected charging port yes fast charging supportit quality good price main thing didnt ever thought cable long good one charging power good also support fast chargingvalue money extra lengthgood working fineproduct quality goodgoodvery goodbought daughter old phonebrand new cable charging already repacked requested replacementi checked green colour pastefungus inside micro usb connector cleaned alcoholic start working againchecked ampere charging speed got around mama bad came braided long cable pretty impressive pricecant blame manufacturerbut quality issue distributor might stored humid place,0.975,Positive
check offera buyingw charging cableawesome cablecharging data transfer durability simply awesome single disconnection issue always faced original cable box bought time last cable damaged phone fell usb cable port phone heavy never faced issue bought one time didnt went replacement waste time energy also boat earphone also awesomegoodcharging slow forget fast charging useful allcable fit properly samsung galaxy type port little hit happens cable plug otherwise length cable quality niceboat type cable doesnt support fast charging oppo earlier using vooc cable worked excellent,0.9165,Positive
always good correct delivery good service sound quality poor speaker fitted clear sound problemgood videogood vicepicture quality awesomegood priceokay product lag year use best get price tag come withi like itbest one come bugdet easy installation handy featuresgood,0.91,Positive
trust product work well car playvery good quality charging fine good originalbuild quality awesome best lightening cable ever seen better official lightening looking cable close eye buy amazon basic one using past year bit cheaper side recommend cable better build quality value moneygr product overalljust loved good charging speedgood qualityit well packed sealed coveredthe wire look good qualityrecommended,0.9915,Positive
